en,fr
Turns the ground into Psychic Terrain when the Pokémon enters a battle.,Le Pokémon crée un Champ Psychique au moment où il entre au combat.
Turns the ground into Misty Terrain when the Pokémon enters a battle.,Le Pokémon crée un Champ Brumeux au moment où il entre au combat.
Turns the ground into Grassy Terrain when the Pokémon enters a battle.,Le Pokémon crée un Champ Herbu au moment où il entre au combat.
Prevents other Pokémon’s moves or Abilities from lowering the Pokémon’s stats.,Empêche les stats du Pokémon de baisser à cause d’une capacité ou d’un talent.
Reduces the amount of damage the Pokémon takes while its HP is full.,Le Pokémon reçoit moins de dégâts quand ses PV sont au maximum.
Reduces the power of supereffective attacks taken.,Réduit les dégâts subis lorsque le Pokémon est touché par une capacité super efficace.
Powers up moves that are super effective.,Augmente encore plus les dégâts infligés par les attaques super efficaces.
Boosts the Pokémon’s Attack stat when the Pokémon enters a battle.,Augmente l’Attaque du Pokémon quand il entre au combat.
Boosts the Pokémon’s Defense stat when the Pokémon enters a battle.,Augmente la Défense du Pokémon quand il entre au combat.
Changes the Pokémon’s type to the type of the move it’s about to use.,Le Pokémon prend le type de la capacité qu’il utilise.
"If the Pokémon is not holding an item, it will fetch the Poké Ball from the first failed throw of the battle.","Si le Pokémon ne tient aucun objet, il ramassera la Poké Ball lors du premier lancer raté du combat."
"When the Pokémon is hit by an attack, it scatters cotton fluff around and lowers the Speed stat of all Pokémon except itself.","Quand le Pokémon est touché par une attaque, il dissémine des aigrettes qui diminuent la Vitesse de tout le monde, sauf la sienne."
Ignores the effects of opposing Pokémon’s Abilities and moves that draw in moves.,Permet d’ignorer l’effet des capacités ou des talents qui attirent les capacités.
Bounces back only the stat-lowering effects that the Pokémon receives.,Le Pokémon renvoie les effets réducteurs de stats qu’il reçoit.
"When the Pokémon uses Surf or Dive, it will come back with prey. When it takes damage, it will spit out the prey to attack.","Quand le Pokémon utilise Surf ou Plongée, il revient avec une proie. Lorsqu’il subit des dégâts par la suite, il attaque en recrachant sa proie."
Ignores the effects of opposing Pokémon’s Abilities and moves that draw in moves.,Permet d’ignorer l’effet des capacités ou des talents qui attirent les capacités.
Boosts the Pokémon’s Speed stat drastically if hit by a Fire- or Water-type move.,"Lorsque le Pokémon est touché par des capacités de type Eau ou Feu, sa Vitesse augmente énormément."
Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves.,Augmente la puissance des capacités basées sur le son. Le Pokémon ne subit que la moitié des dégâts quand il est touché par ce genre de capacités.
The Pokémon creates a sandstorm when it’s hit by an attack.,Le Pokémon déclenche une tempête de sable quand il subit une attaque.
"The Pokémon is protected by ice scales, which halve the damage taken from special moves.",Le Pokémon est protégé par des écailles de glace. Les dégâts qu’il subit par des capacités spéciales sont divisés par deux.
Ripens Berries and doubles their effect.,Le Pokémon fait mûrir la Baie qu’il tient et double ainsi son effet.
"The Pokémon’s ice head can take a physical attack as a substitute, but the attack also changes the Pokémon’s appearance. The ice will be restored when it hails.","Le glaçon sur sa tête encaisse les attaques physiques à la place du Pokémon, mais sa destruction modifie son apparence. Le glaçon se reforme quand il grêle."
Just being next to the Pokémon powers up moves.,Augmente la puissance des capacités des Pokémon qui se trouvent à proximité.
Changes the Pokémon’s type depending on the terrain.,Le Pokémon adopte le même type que le terrain lorsqu’un champ est actif.
"When the Pokémon enters a battle, the effects of Light Screen, Reflect, and Aurora Veil are nullified for both opposing and ally Pokémon.","Quand le Pokémon entre au combat, les effets de Mur Lumière, Protection et Voile Aurore disparaissent pour les alliés comme pour les ennemis."
Powers up ally Pokémon’s Steel-type moves.,Augmente la puissance d’Attaque des capacités de type Acier des Pokémon alliés.
"When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle.","Lorsque le Pokémon est directement touché par une attaque, l’assaillant et lui tomberont K.O. dans trois tours, à moins qu’ils ne soient remplacés entre temps."
The Pokémon exchanges Abilities with a Pokémon that hits it with a move that makes direct contact.,"Lorsque le Pokémon est directement touché par une attaque, il échange son talent avec celui de l’assaillant."
Boosts the Pokémon’s Attack stat but only allows the use of the first selected move.,"Augmente l’Attaque, mais empêche d’utiliser toute autre capacité que celle utilisée en premier par le Pokémon."
"If the Pokémon with Neutralizing Gas is in the battle, the effects of all Pokémon’s Abilities will be nullified or will not be triggered.","Si un Pokémon avec Gaz Inhibiteur est sur le terrain, les effets des talents de tous les autres Pokémon sont annulés."
Protects the Pokémon and its ally Pokémon from being poisoned.,Protège le Pokémon et ses alliés contre toutes les altérations de statut liées à l’empoisonnement.
"The Pokémon changes its form, alternating between its Full Belly Mode and Hangry Mode after the end of each turn.","À la fin de chaque tour, le Pokémon alterne entre ses formes Mode Rassasié et Mode Affamé."
Enables the Pokémon to move first occasionally.,Permet parfois au Pokémon d’agir en premier.
"If the Pokémon uses moves that make direct contact, it can attack the target even if the target protects itself.","Si le Pokémon utilise une attaque directe, celle-ci pourra passer outre les protections de la cible."
"When the Pokémon enters a battle, it scatters medicine from its shell, which removes all stat changes from allies.","Quand il entre au combat, le Pokémon répand une substance qui annule les changements de stats de ses alliés."
Powers up Electric-type moves.,Augmente la puissance des attaques de type Électrik.
Powers up Dragon-type moves.,Augmente la puissance des attaques de type Dragon.
"When the Pokémon knocks out a target, it utters a chilling neigh, which boosts its Attack stat.","Quand le Pokémon met un ennemi K.O., il émet un hennissement glaçant, ce qui augmente son Attaque."
"When the Pokémon knocks out a target, it utters a terrifying neigh, which boosts its Sp. Atk stat.","Quand le Pokémon met un ennemi K.O., il émet un hennissement terrifiant qui augmente son Attaque Spéciale."
This Ability combines the effects of both Calyrex’s Unnerve Ability and Glastrier’s Chilling Neigh Ability.,Les talents Tension de Sylveroy et Blanche Ruade de Blizzeval sont cumulés.
This Ability combines the effects of both Calyrex’s Unnerve Ability and Spectrier’s Grim Neigh Ability.,Les talents Tension de Sylveroy et Sombre Ruade de Spectreval sont cumulés.
